,kepid,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score
177,1718189,K00993.01,Kepler-262 c,290.72867,0.0,19h22m54.88s,37.252651,0.0,+37d15m09.5s,14.719000000000001,,14.184000000000001,,14.043,,13.972999999999999,,13.118,0.022000000000000002,12.759,0.019,12.732000000000001,0.025,14.245999999999999,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),18.0,,1.0,144.3114,0.0057,-0.0057,0.0,,,,,,1.71,,,0.15,,,0.54,0.83,-0.83,3.6863,,,,,,390.0,,,21.85387,0.00033,-0.00033,0.0184,0.0022,-0.0022,39.0,19.0,-19.0,,,,591.0,,,5616.0,,,4.55,,,,,,0.85,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2454977.3109999998,0.0057,-0.0057,,,,,,,,,,,,,
178,11974540,K00129.01,Kepler-470 b,297.00943,0.0,19h48m02.26s,50.372318,0.0,+50d22m20.3s,13.484000000000002,,13.17,,13.113,,13.089,,12.269,0.025,12.042,0.025,12.034,0.025,13.224,,q1_q6_kepler_candidates,Done,,CONFIRMED,FALSE POSITIVE,1,,,,,,,,,,,640.5,,,132.86479,,,,,,,,,,,,,,,,,,7.0,,,,,,7150.0,,,24.6691223,,,,,,,,,,,,,,,6507.0,,,4.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Binary,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2454965.865,,,,,,,,,,,,,,,
179,5287983,K00828.01,,295.37805,0.0,19h41m30.73s,40.493401,0.0,+40d29m36.2s,16.109,,15.512,,15.317,,15.284,,14.3,0.032,13.958,0.04,13.912,0.055,15.555,,q1_q6_kepler_candidates,Done,,FALSE POSITIVE,FALSE POSITIVE,1,,,,,,,,,,,71.1,,,170.99975,,,,,,,,,,,,,,,,,,1.49,,,,,,1658.0,,,2.5071022000000003,,,,,,,,,,,,,,,5680.0,,,4.5280000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,3.1,,3.5,,,,,,,,APO,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455004.0,,,,,,,,,,,,,,,
180,5358241,K00829.01,Kepler-53 b,290.46176,0.0,19h21m50.82s,40.562462,0.0,+40d33m44.9s,15.867,,15.354000000000001,,15.179,,15.139000000000001,,14.252,0.027000000000000003,13.905999999999999,0.032,13.807,0.051,15.386,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,3,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),35.4,,1.04,174.7761,0.0029,-0.0029,0.0,,,,,,2.89,,,0.13699999999999998,,,0.76,0.36,-0.36,4.4815,,,,,,893.0,,,18.64895,0.00015,-0.00015,0.0299,0.0011,-0.0011,22.1,9.8,-9.8,,,,658.0,,,5858.0,,,4.53,,,,,,0.89,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455007.776,0.0029,-0.0029,,,,,,,,,,,,,
181,5358241,K00829.02,Kepler-53 d,290.46176,0.0,19h21m50.82s,40.562462,0.0,+40d33m44.9s,15.867,,15.354000000000001,,15.179,,15.139000000000001,,14.252,0.027000000000000003,13.905999999999999,0.032,13.807,0.051,15.386,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,3,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),22.0,,1.11,138.7846,0.0048,-0.0048,0.0,,,,,,1.92,,,0.08900000000000001,,,0.66,0.41,-0.41,4.0291,,,,,,421.0,,,9.75193,0.00013000000000000002,-0.00013000000000000002,0.01987,0.00084,-0.00084,14.4,6.4,-6.4,,,,816.0,,,5858.0,,,4.53,,,,,,0.89,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2454971.785,0.0048,-0.0048,,,,,,,,,,,,,
182,5358241,K00829.03,Kepler-53 c,290.46176,0.0,19h21m50.82s,40.562462,0.0,+40d33m44.9s,15.867,,15.354000000000001,,15.179,,15.139000000000001,,14.252,0.027000000000000003,13.905999999999999,0.032,13.807,0.051,15.386,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,3,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),31.7,,1.31,163.8482,0.0038,-0.0038,0.0,,,,,,3.17,,,0.222,,,0.83,0.3,-0.3,5.0162,,,,,,1026.0,,,38.55831,0.00041,-0.00041,0.0328,0.0012,-0.0012,36.0,16.0,-16.0,,,,517.0,,,5858.0,,,4.53,,,,,,0.89,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2454996.848,0.0038,-0.0038,,,,,,,,,,,,,
183,5358624,K00830.01,Kepler-428 b,290.58173,0.0,19h22m19.62s,40.5774,0.0,+40d34m38.6s,15.960999999999999,,15.142000000000001,,14.908,,14.758,,13.767000000000001,0.024,13.295,0.023,13.234000000000002,0.033,15.224,,q1_q6_kepler_candidates,Done,,CONFIRMED,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),1290.6,,2.06,170.04727,5e-05,-5e-05,0.0,,,,,,10.65,,,0.043,,,0.03,0.2,-0.2,2.5986,,,,,,22411.0,,,3.5256324999999995,5e-07,-5e-07,0.13283,0.00061,-0.00061,11.76,0.48,-0.48,,,,896.0,,,4915.0,,,4.63,,,,,,0.73,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455003.047,5e-05,-5e-05,,,,,,,,,,,,,
184,5370302,K00831.01,,294.05676,0.0,19h36m13.62s,40.549679,0.0,+40d32m58.8s,15.552,,14.953,,14.787,,14.674000000000001,,13.817,0.027999999999999997,13.447000000000001,0.031,13.49,0.045,15.015999999999998,,q1_q6_kepler_candidates,Done,,FALSE POSITIVE,FALSE POSITIVE,1,,,,,,,,,,,1125.9,,,173.39435,,,,,,,,,,,,,,,,,,3.47,,,,,,15736.0,,,3.9043175000000003,,,,,,,,,,,,,,,5606.0,,,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Binary,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455006.394,,,,,,,,,,,,,,,
185,5372966,K00832.01,,294.74396,0.0,19h38m58.55s,40.53392,0.0,+40d32m02.1s,15.946,,15.347999999999999,,15.115,,14.988,,14.030999999999999,0.031,13.602,0.039,13.550999999999998,0.043,15.365,,q1_q6_kepler_candidates,Done,,FALSE POSITIVE,FALSE POSITIVE,1,,,,,,,,,,,2033.6,,,171.82075,,,,,,,,,,,,,,,,,,3.99,,,,,,44830.0,,,9.2863565,,,,,,,,,,,,,,,5464.0,,,4.5569999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Binary,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2455004.821,,,,,,,,,,,,,,,
186,9579641,K00115.03,,287.88732999999996,0.0,19h11m32.96s,46.276241,0.0,+46d16m34.5s,13.110999999999999,,12.732000000000001,,12.654000000000002,,12.648,,11.811,0.021,11.555,0.02,11.503,0.013000000000000001,12.790999999999999,,q1_q6_kepler_candidates,Done,,CANDIDATE,CANDIDATE,3,,,,,Claret (2011 A&A 529 75) ATLAS LS,,,,,Mandel and Agol (2002 ApJ 580 171),6.3,,1.32,132.657,0.011000000000000001,-0.011000000000000001,0.0,,,,,,0.63,,,0.046,,,0.12,0.43,-0.43,2.6142,,,,,,20.0,,,3.4358400000000002,0.00011999999999999999,-0.00011999999999999999,0.00434,0.00039,-0.00039,10.0,1.3,-1.3,,,,1473.0,,,6202.0,,,4.24,,,,,,1.33,,,,,,,,,KIC,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-12,,,,q1_q6_kepler_candidates,q1_q6_kepler_candidates,2454965.6569999997,0.011000000000000001,-0.011000000000000001,,,,,,,,,,,,,
