,kepid,kepoi_name,kepler_name,ra,ra_err,ra_str,dec,dec_err,dec_str,koi_gmag,koi_gmag_err,koi_rmag,koi_rmag_err,koi_imag,koi_imag_err,koi_zmag,koi_zmag_err,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_kepmag,koi_kepmag_err,koi_delivname,koi_vet_stat,koi_quarters,koi_disposition,koi_pdisposition,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_trans_mod,koi_model_snr,koi_model_dof,koi_model_chisq,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_comment,koi_vet_date,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvs,koi_disp_prov,koi_parm_prov,koi_time0,koi_time0_err1,koi_time0_err2,koi_datalink_dvr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_score
0,9388479,K00936.02,Kepler-732 c,283.73203,0.0,18h54m55.69s,45.958771,0.0,+45d57m31.6s,16.712,,15.31,,14.370999999999999,,13.89,,12.595999999999998,0.025,11.952,0.021,11.720999999999998,0.018000000000000002,15.073,,q1_q8_koi,Done,,CONFIRMED,CANDIDATE,2,,,,,Claret (2011 A&A 529 75) ATLAS LS,0.2722,-0.8042,0.7713,0.576,Mandel and Agol (2002 ApJ 580 171),102.7,,1.27,134.53814,0.00037999999999999997,-0.00037999999999999997,0,,,,,,1.47,0.12,-0.12,0.015,,,0.75,0.21,-0.21,1.1894,,,,,,738,,,0.8930476999999999,2.8e-06,-2.8e-06,0.0272,0.0019,-0.0019,4.1,1.4,-1.4,79.64,,,973.0,,,3834.0,200.0,-200.0,4.76,0.3,-0.3,,,,0.496,0.023,-0.023,0.512,0.034,-0.034,13.7,3.5,-3.5,Pinsonneault,0.001,18.9154623,6e-06,45.958608,6.3e-05,0.041,0.022,0.016,0.015,-2.2899999999999998e-05,6e-06,-9.1e-06,4.2000000000000004e-06,0.03,0.054,-0.085,0.075,0.09,0.073,-0.569,0.078,-0.722,0.079,0.919,0.079,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2454967.538,0.00037999999999999997,-0.00037999999999999997,,,,,,,,,,,,,
1,8359498,K00127.01,Kepler-77 b,289.60797,0.0,19h18m25.91s,44.345421,0.0,+44d20m43.5s,14.449000000000002,,13.870999999999999,,13.72,,13.658,,12.758,0.023,12.444,0.019,12.360999999999999,0.018000000000000002,13.937999999999999,,q1_q8_koi,Done,,CONFIRMED,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.4519,0.9676,-0.3977,0.6753,Mandel and Agol (2002 ApJ 580 171),2178.0,,3.41,134.029405,5.1e-05,-5.1e-05,0,,,,,,10.93,0.47,-0.47,0.047,,,0.025,0.1,-0.1,2.8982,,,,,,11445,,,3.57878272,5.4e-07,-5.4e-07,0.09633,0.00036,-0.00036,10.36,0.43,-0.43,89.95,,,1189.0,,,5731.0,50.0,-50.0,4.45,0.1,-0.1,,,,1.039,0.045,-0.045,1.105,0.021,-0.021,1.2,1.1,-1.1,SPC,0.002,19.30719855,2.3e-07,44.3454591,2.3e-06,0.00098,0.00084,-0.0008900000000000001,0.00055,-1.1599999999999999e-05,5e-06,1.04e-05,3.2e-06,0.0009,0.0023,0.0004,0.0047,0.0009,0.0028,0.0026,0.005,0.139,0.015,0.139,0.015,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2454967.029,5.1e-05,-5.1e-05,,,,,,,,,,,,,
2,9406990,K00937.01,Kepler-733 b,293.01828,0.0,19h32m04.39s,45.914688,0.0,+45d54m52.9s,16.027,,15.337,,15.148,,15.035,,14.140999999999998,0.032,13.725999999999999,0.038,13.648,0.043,15.412,,q1_q8_koi,Done,,CONFIRMED,CANDIDATE,1,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.3359,0.6032,-0.012,0.5021,Mandel and Agol (2002 ApJ 580 171),46.3,,1.22,176.578,0.0032,-0.0032,0,,,,,,2.42,0.84,-0.84,0.142,,,0.34,0.99,-0.99,4.0548,,,,,,994,,,20.83495,0.00018,-0.00018,0.0286,0.0045,-0.0045,38.0,16.0,-16.0,89.38,,,559.0,,,5429.0,102.0,-102.0,4.6,0.3,-0.3,,,,0.78,0.24,-0.24,0.878,0.046,-0.046,0.6,3.8,-3.8,Pinsonneault,0.001,19.534539,1.2e-05,45.91493,0.00013,-0.027,0.042,0.066,0.032,2.7000000000000002e-05,2.1e-05,-6.6e-05,1.6e-05,-0.06,0.18,0.12,0.23,0.13,0.22,-0.19,0.18,0.29,0.22,0.34,0.21,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2455009.578,0.0032,-0.0032,,,,,,,,,,,,,
3,9415172,K00938.01,Kepler-255 c,296.06424,0.0,19h44m15.42s,45.976841,0.0,+45d58m36.6s,16.222,,15.512,,15.328,,15.206,,14.227,0.027000000000000003,13.854000000000001,0.026000000000000002,13.689,0.043,15.595999999999998,,q1_q8_koi,Done,,CONFIRMED,CANDIDATE,3,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.3359,0.6032,-0.012,0.5021,Mandel and Agol (2002 ApJ 580 171),54.7,,1.23,171.7003,0.0024,-0.0024,0,,,,,,2.9,1.4,-1.4,0.087,,,0.83,0.13,-0.13,3.4912,,,,,,1034,,,9.946049,6.7e-05,-6.7e-05,0.0335,0.002,-0.002,13.4,4.1,-4.1,86.52,,,729.0,,,5463.0,128.0,-128.0,4.58,0.3,-0.3,,,,0.8,0.38,-0.38,0.878,0.065,-0.065,2.4,4.0,-4.0,Pinsonneault,0.0,19.7376176,8.7e-06,45.97701,0.00011,0.005,0.031,0.068,0.025,-5e-06,1.6e-05,-7.099999999999999e-05,1.3000000000000001e-05,-0.35,0.3,-0.06,0.12,0.36,0.29,-0.31,0.3,-0.28,0.22,0.42,0.27,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2455004.7,0.0024,-0.0024,,,,,,,,,,,,,
4,9415172,K00938.02,Kepler-255 d,296.06424,0.0,19h44m15.42s,45.976841,0.0,+45d58m36.6s,16.222,,15.512,,15.328,,15.206,,14.227,0.027000000000000003,13.854000000000001,0.026000000000000002,13.689,0.043,15.595999999999998,,q1_q8_koi,Done,,CONFIRMED,CANDIDATE,3,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.3359,0.6032,-0.012,0.5021,Mandel and Agol (2002 ApJ 580 171),27.5,,1.2,133.9141,0.0024,-0.0024,0,,,,,,1.28,0.62,-0.62,0.019,,,0.77,0.18,-0.18,1.8348,,,,,,214,,,1.045632,1.4000000000000001e-05,-1.4000000000000001e-05,0.0147,0.001,-0.001,2.99,0.92,-0.92,75.06,,,1561.0,,,5463.0,128.0,-128.0,4.58,0.3,-0.3,,,,0.8,0.38,-0.38,0.878,0.065,-0.065,2.4,4.0,-4.0,Pinsonneault,0.006,19.737638,1.7e-05,45.97698,0.0002,0.08,0.06,0.06,0.049,-1.93e-05,7.2999999999999996e-06,-1.4400000000000001e-05,5.9e-06,-0.33,0.27,0.26,0.23,0.41,0.25,-0.28,0.26,-0.03,0.24,0.28,0.26,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2454966.914,0.0024,-0.0024,,,,,,,,,,,,,
5,9415172,K00938.03,Kepler-255 b,296.06424,0.0,19h44m15.42s,45.976841,0.0,+45d58m36.6s,16.222,,15.512,,15.328,,15.206,,14.227,0.027000000000000003,13.854000000000001,0.026000000000000002,13.689,0.043,15.595999999999998,,q1_q8_koi,Done,,CONFIRMED,NOT DISPOSITIONED,3,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.3359,0.6032,-0.012,0.5021,Mandel and Agol (2002 ApJ 580 171),17.1,,1.17,132.6477,0.0064,-0.0064,0,,,,,,1.61,0.78,-0.78,0.06,,,0.892,0.1,-0.1,2.322,,,,,,284,,,5.71442,0.0001,-0.0001,0.0185,0.0015,-0.0015,9.3,2.9,-2.9,84.22,,,878.0,,,5463.0,128.0,-128.0,4.58,0.3,-0.3,,,,0.8,0.38,-0.38,0.878,0.065,-0.065,2.4,4.0,-4.0,Pinsonneault,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2454965.648,0.0064,-0.0064,,,,,,,,,,,,,
6,9466668,K00939.01,Kepler-256 c,292.58044,0.0,19h30m19.31s,46.097389,0.0,+46d05m50.6s,15.569,,14.992,,14.849,,14.82,,13.824000000000002,0.024,13.495999999999999,0.025,13.424000000000001,0.043,15.065,,q1_q8_koi,Done,,CONFIRMED,CANDIDATE,4,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.1673,0.1796,0.2876,0.434,Mandel and Agol (2002 ApJ 580 171),33.5,,1.23,170.5325,0.003,-0.003,0,,,,,,1.54,0.77,-0.77,0.044000000000000004,,,0.54,0.16,-0.16,2.7145,,,,,,282,,,3.388008,3.4e-05,-3.4e-05,0.01583,0.00059,-0.00059,8.2,2.6,-2.6,86.52,,,1165.0,,,5870.0,159.0,-159.0,4.54,0.3,-0.3,,,,0.89,0.44,-0.44,1.0,0.11,-0.11,0.4,3.1,-3.1,Pinsonneault,0.33799999999999997,19.505368,1.6e-05,46.09748,0.00018,0.023,0.057,0.029,0.043,-7.2000000000000005e-06,8.8e-06,-9e-06,6.6e-06,0.01,0.36,-0.26,0.32,0.27,0.32,0.0,0.36,-0.28,0.33,0.28,0.33,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2455003.5330000003,0.003,-0.003,,,,,,,,,,,,,
7,9466668,K00939.02,Kepler-256 d,292.58044,0.0,19h30m19.31s,46.097389,0.0,+46d05m50.6s,15.569,,14.992,,14.849,,14.82,,13.824000000000002,0.024,13.495999999999999,0.025,13.424000000000001,0.043,15.065,,q1_q8_koi,Done,,CONFIRMED,NOT DISPOSITIONED,4,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.1673,0.1796,0.2876,0.434,Mandel and Agol (2002 ApJ 580 171),26.4,,1.18,132.0944,0.0046,-0.0046,0,,,,,,1.54,0.77,-0.77,0.063,,,0.59,0.15,-0.15,3.1245,,,,,,276,,,5.839061,7.7e-05,-7.7e-05,0.01581,0.00067,-0.00067,11.8,3.8,-3.8,87.09,,,973.0,,,5870.0,159.0,-159.0,4.54,0.3,-0.3,,,,0.89,0.44,-0.44,1.0,0.11,-0.11,0.4,3.1,-3.1,Pinsonneault,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2454965.094,0.0046,-0.0046,,,,,,,,,,,,,
8,9466668,K00939.03,Kepler-256 b,292.58044,0.0,19h30m19.31s,46.097389,0.0,+46d05m50.6s,15.569,,14.992,,14.849,,14.82,,13.824000000000002,0.024,13.495999999999999,0.025,13.424000000000001,0.043,15.065,,q1_q8_koi,Done,,CONFIRMED,NOT DISPOSITIONED,4,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.1673,0.1796,0.2876,0.434,Mandel and Agol (2002 ApJ 580 171),24.1,,1.16,132.0694,0.0034,-0.0034,0,,,,,,1.11,0.56,-0.56,0.027000000000000003,,,0.53,0.15,-0.15,2.1337,,,,,,146,,,1.620436,2.2e-05,-2.2e-05,0.01138,0.00053,-0.00053,5.0,1.6,-1.6,83.65,,,1487.0,,,5870.0,159.0,-159.0,4.54,0.3,-0.3,,,,0.89,0.44,-0.44,1.0,0.11,-0.11,0.4,3.1,-3.1,Pinsonneault,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2454965.069,0.0034,-0.0034,,,,,,,,,,,,,
9,9466668,K00939.04,Kepler-256 e,292.58044,0.0,19h30m19.31s,46.097389,0.0,+46d05m50.6s,15.569,,14.992,,14.849,,14.82,,13.824000000000002,0.024,13.495999999999999,0.025,13.424000000000001,0.043,15.065,,q1_q8_koi,Done,,CONFIRMED,NOT DISPOSITIONED,4,,,,,Claret (2011 A&A 529 75) ATLAS LS,-0.1673,0.1796,0.2876,0.434,Mandel and Agol (2002 ApJ 580 171),24.7,,1.42,131.55,0.0062,-0.0062,0,,,,,,1.62,0.81,-0.81,0.095,,,0.66,0.13,-0.13,3.5771,,,,,,296,,,10.68176,0.00018,-0.00018,0.01665,0.00078,-0.00078,17.7,5.7,-5.7,87.66,,,793.0,,,5870.0,159.0,-159.0,4.54,0.3,-0.3,,,,0.89,0.44,-0.44,1.0,0.11,-0.11,0.4,3.1,-3.1,Pinsonneault,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-07,,,,q1_q8_koi,q1_q8_koi,2454964.55,0.0062,-0.0062,,,,,,,,,,,,,
